shop_ids,city,city_in_english,zip_code,population,population_growth,region,wiki,additional_links
0;1;57;58,Якутск,Yakutsk,677000,311760,1.5,Sakha,https://en.wikipedia.org/wiki/Yakutsk,https://www.macrotrends.net/cities/22395/yakutsk/population
2,Адыгея,Adygea,385000,453376,3,North Caucasus,https://en.wikipedia.org/wiki/Adygea,
3,Балашиха,Balashikha,143000,215494,117.3,Moscow Oblast,https://en.wikipedia.org/wiki/Balashikha,
4,Волжский,"Volzhsky, Volgograd Oblast",404100,325224,3.5,Volgograd Oblast,"https://en.wikipedia.org/wiki/Volzhsky,_Volgograd_Oblast",
5,Вологда,Vologda,160000,312420,3.5,Vologda Oblast,https://en.wikipedia.org/wiki/Vologda,
6;7;8,Воронеж,Voronezh,394000,1047549,0.5,Voronezh Oblast,https://en.wikipedia.org/wiki/Voronezh,https://www.macrotrends.net/cities/22393/voronezh/population
10;11,Жуковский,Zhukovsky,140180,108187,3.3,Moscow Oblast,"https://en.wikipedia.org/wiki/Zhukovsky,_Moscow_Oblast",
13;14,Казань,Kazan,420000,1243500,8.7,Tatarstan,https://en.wikipedia.org/wiki/Kazan,
15,Калуга,Kaluga,248000,340851,5,Kaluga Oblast,https://en.wikipedia.org/wiki/Kaluga,
16,Коломна,Kolomna,140400,142691,-1.3,Moscow Oblast,https://en.wikipedia.org/wiki/Kolomna,
17;18,Красноярск,Krasnoyarsk,660000,1090811,12,Krasnoyarsk Krai,https://en.wikipedia.org/wiki/Krasnoyarsk,
19,Курск,Kursk,305000,448733,8.1,Kursk Oblast,https://en.wikipedia.org/wiki/Kursk,
20;21;22;23;24;25;26;27;28;29;30;31;32,Москва,Moscow,115000,12506468,0.5,Central,https://en.wikipedia.org/wiki/Moscow,https://www.macrotrends.net/cities/22299/moscow/population
33,Мытищи,Mytishchi,141000,211606,22.2,Moscow Oblast,https://en.wikipedia.org/wiki/Mytishchi,
34;35,Н.Новгород,Nizhny Novgorod,603000,1259013,0.7,Nizhny Novgorod Oblast,https://en.wikipedia.org/wiki/Nizhny_Novgorod,
36;37,Новосибирск,Novosibirsk,630000,1612833,9.4,Novosibirsk Oblast,https://en.wikipedia.org/wiki/Novosibirsk,
38,Омск,Omsk,644000,1172070,1.6,Omsk Oblast,https://en.wikipedia.org/wiki/Omsk,
39;40;41,РостовНаДону,Rostov-on-Don,344000,1130305,3.8,Rostov Oblast,https://en.wikipedia.org/wiki/Rostov-on-Don,
42;43,СПб,Saint Petersburg,190000,5351935,0.8,Leningrad Oblast,https://en.wikipedia.org/wiki/Saint_Petersburg,https://www.macrotrends.net/cities/22365/saint-petersburg/population
44;45,Самара,Samara,443000,1163399,-0.1,Samara Oblast,https://en.wikipedia.org/wiki/Samara,
46,Сергиев,Sergiyev Posad,141000,103444,-7,Moscow Oblast,https://en.wikipedia.org/wiki/Sergiyev_Posad,
47,Сургут,Surgut,628400,450000,2,Khanty-Mansi Autonomous Okrug,https://en.wikipedia.org/wiki/Surgut,https://www.macrotrends.net/cities/22369/surgut/population
48,Томск,Tomsk,634000,574002,9.4,Tomsk Oblast,https://en.wikipedia.org/wiki/Tomsk,
49;50;51,Тюмень,Tyumen,625000,768358,32,Tyumen Oblast,https://en.wikipedia.org/wiki/Tyumen,
52;53,Уфа,Ufa,450000,1120547,5.5,Bashkortostan,https://en.wikipedia.org/wiki/Ufa,
54,Химки,Khimki,141400,250688,20.9,Moscow Oblast,https://en.wikipedia.org/wiki/Khimki,
56,Чехов,Chekhov,142300,60720,0,Moscow Oblast,"https://en.wikipedia.org/wiki/Chekhov,_Moscow_Oblast",https://www.macrotrends.net/countries/RUS/russia/population-growth-rate
59,Ярославль,Yaroslavl,150000,608722,2.9,Yaroslavl Oblast,https://en.wikipedia.org/wiki/Yaroslavl,
9,Выездная,Outgoing,0,143759445,0,Russia,https://en.wikipedia.org/wiki/Russia,
12,Интернет-магазин,Online Store,0,143759445,0,Russia,https://en.wikipedia.org/wiki/Russia,
55,Цифровой,Digital,0,143759445,0,Russia,https://en.wikipedia.org/wiki/Russia,
